Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Total,MIGAS,NON MIGAS,Agriculture,Industry,Mining,Others,Month,Year,Data,Total,Consumption Goods,Raw Material Support,Capital Goods
,,,,,,,September,2020,Impor,11570.1,1120.76,8304.94,2144.4
,,,,,,,Agustus,2020,Impor,10742.41,1193.85,7745.55,1803
,,,,,,,Juli,2020,Impor,10464.3,1112.23,7380.64,1971.43
,,,,,,,Juni,2020,Impor,10760.32,1408.09,7572.41,1779.81
,,,,,,,Mei,2020,Impor,8438.63,"$934,69",6095.84,1408.09
,,,,,,,April,2020,Impor,12535.23,1214.98,9311.47,2008.78
,,,,,,,Maret,2020,Impor,13352.18,1269.26,10235.59,1847.32
,,,,,,,Februari,2020,Impor,11548.1,"$881,84",8790,1876.26
,,,,,,,Januari,2020,Impor,14268.72,1467.16,10524.91,"$2,276,64"
,,,,,,,Desember,2021,Impor,"$21,352,02",2490.52,15625.02,3236.48
,,,,,,,November,2021,Impor,19328.19,2001.45,14329.81,2996.93
,,,,,,,Oktober,2021,Impor,16293.62,1589.68,12309.67,2394.26
,,,,,,,September,2021,Impor,16234.15,1789.58,12095.4,2349.17
,,,,,,,Agustus,2021,Impor,16678.89,1889.17,12376.29,2413.43
,,,,,,,Juli,2021,Impor,15263.12,1627.86,11558.38,2076.88
,,,,,,,Juni,2021,Impor,17218.46,1643.56,13029.26,2545.64
,,,,,,,Mei,2021,Impor,14234.82,1405.55,10943.87,1885.4
,,,,,,,April,2021,Impor,16204.34,1629.59,12380.11,2194.63
,,,,,,,Maret,2021,Impor,16787.51,1443.31,12936.33,2407.88
,,,,,,,Februari,2021,Impor,13264.97,1240.38,9871.89,2152.7
,,,,,,,Januari,2021,Impor,13329.9,1432.2,9924.14,1973.57
,,,,,,,Desember,2022,Impor,19863.06,1806.58,14425.88,3630.6
,,,,,,,November,2022,Impor,18962.09,1677.19,14069.16,3215.74
,,,,,,,Oktober,2022,Impor,19135.35,1750.9,14308.6,3075.85
,,,,,,,September,2022,Impor,19808.34,1589.88,14903.19,3315.27
,,,,,,,Agustus,2022,Impor,22150.55,1851.27,16757.83,3541.46
,,,,,,,Juli,2022,Impor,21345.03,1648.76,16698.72,2997.55
,,,,,,,Juni,2022,Impor,21003.85,1697.92,16229.61,3076.33
,,,,,,,Mei,2022,Impor,18609.29,1515.43,14658.13,2435.72
,,,,,,,April,2022,Impor,19757.45,1698.37,15531.89,2527.19
,,,,,,,Maret,2022,Impor,21962.42,1814.33,17014.85,3133.23
,,,,,,,Februari,2022,Impor,16638.51,1202.65,12831.48,2604.38
,,,,,,,Januari,2022,Impor,18211.1,1579.09,13830.72,2801.3
,,,,,,,Desember,2023,Impor,19107.14,2050,13786.32,3270.83
,,,,,,,November,2023,Impor,19586.55,2009.63,13921.88,3655.04
,,,,,,,Oktober,2023,Impor,18672.91,1818.06,13438.17,3416.68
,,,,,,,September,2023,Impor,17341.61,1665.24,12692.84,2983.53
,,,,,,,Agustus,2023,Impor,18879.83,2137.65,13341.46,3400.72
,,,,,,,Juli,2023,Impor,19570.34,2091.82,13915.83,3562.69
,,,,,,,Juni,2023,Impor,17150.49,1586.02,12361.85,3202.62
,,,,,,,Mei,2023,Impor,21279.59,2068.54,15306.64,3904.42
,,,,,,,April,2023,Impor,15347.61,1398.17,11597.87,2351.57
,,,,,,,Maret,2023,Impor,20588.05,1761.45,15114.16,3712.44
,,,,,,,Februari,2023,Impor,15919.17,1364.09,11791.92,2763.16
,,,,,,,Januari,2023,Impor,18442.93,1596.24,13886.9,2959.79
